ActSectionAssocID,CaseMasterID,ActID,SectionID
1,1,2,10
2,2,2,10
3,3,3,37
4,4,3,37
5,5,3,37
6,6,3,37
7,7,2,11
8,8,2,11
9,9,3,37
10,10,2,11
11,11,2,11
12,12,2,11
13,13,2,11
14,14,2,11
15,15,2,11
16,16,2,11
17,17,2,11
18,18,2,13
19,19,5,40
20,19,5,41
21,20,5,40
22,20,5,41
23,21,5,40
24,21,5,41
25,22,5,40
26,22,5,41
27,23,1,31
28,24,5,40
29,24,5,41
30,25,5,40
31,25,5,41
32,26,5,40
33,26,5,41
34,27,5,40
35,27,5,41
36,28,5,40
37,28,5,41
38,29,5,40
39,29,5,41
40,30,5,40
41,30,5,41
42,31,5,40
43,31,5,41
44,32,5,40
45,32,5,41
46,33,5,40
47,33,5,41
48,34,5,40
49,34,5,41
50,35,5,40
51,35,5,41
52,36,2,11
53,37,3,37
54,38,3,37
55,39,2,4
56,39,2,5
57,39,2,6
58,40,2,11
59,41,2,4
60,41,2,5
61,41,2,6
62,42,2,4
63,42,2,5
64,42,2,6
65,43,2,4
66,43,2,5
67,43,2,6
68,44,2,11
69,45,5,40
70,45,5,41
71,46,5,40
72,46,5,41
73,47,1,33
74,47,1,27
75,48,5,40
76,48,5,41
77,49,2,8
78,50,5,40
79,50,5,41
80,51,2,11
81,52,2,10
82,53,1,19
83,54,1,29
84,55,1,29
85,56,1,29
86,57,2,8
87,58,5,40
88,58,5,41
89,59,2,1
90,60,2,1
91,61,2,15
92,61,2,9
93,62,1,33
94,62,1,27
95,63,1,29
96,64,1,33
97,64,1,27
98,65,1,33
99,65,1,27
100,66,1,33
101,66,1,27
102,67,1,33
103,67,1,27
104,68,2,8
105,69,1,31
106,69,8,44
107,70,1,33
108,70,1,27
109,71,2,10
110,72,1,33
111,72,1,27
112,73,1,28
113,74,1,28
114,75,2,13
115,75,8,44
116,76,2,11
117,77,2,11
118,78,2,11
119,79,2,11
120,80,2,11
121,81,2,15
122,81,2,9
123,82,2,15
124,82,2,9
125,83,2,15
126,83,2,9
127,84,2,15
128,84,2,9
129,85,2,15
130,85,2,9
131,86,2,15
132,86,2,9
133,87,2,15
134,87,2,9
135,88,2,10
136,89,2,15
137,89,2,9
138,90,2,15
139,90,2,9
140,91,1,31
141,91,8,44
142,92,5,40
143,92,5,41
144,93,2,10
145,94,2,10
146,95,2,10
147,96,2,10
148,97,2,10
149,98,2,11
150,99,2,10
151,100,1,28
152,101,5,40
153,101,5,41
154,102,1,28
155,103,1,33
156,103,1,27
157,104,1,33
158,104,1,27
159,105,1,31
160,106,1,33
161,106,1,27
162,107,5,40
163,107,5,41
164,108,1,28
165,109,2,13
166,109,8,44
167,110,2,13
168,110,8,44
169,111,2,13
170,111,8,44
171,112,2,8
172,113,2,8
173,114,1,26
174,115,1,26
175,116,1,26
176,117,1,26
177,118,2,15
178,118,2,9
179,119,2,8
180,120,1,26
181,121,1,26
182,122,6,42
183,123,6,42
184,124,1,31
185,124,8,44
186,125,2,13
187,125,8,44
188,126,1,31
189,126,8,44
190,127,1,31
191,127,8,44
192,128,1,33
193,128,1,27
194,129,1,33
195,129,1,27
196,130,1,26
197,131,1,26
198,132,1,26
199,133,1,26
200,134,1,26
201,135,1,26
202,136,1,22
203,136,1,23
204,136,1,24
205,137,2,4
206,137,2,5
207,137,2,6
208,138,1,33
209,138,1,27
210,139,1,22
211,139,1,23
212,139,1,24
213,140,1,22
214,140,1,23
215,140,1,24
216,141,1,22
217,141,1,23
218,141,1,24
219,142,1,22
220,142,1,23
221,142,1,24
222,143,1,31
223,143,8,44
224,144,1,22
225,144,1,23
226,144,1,24
227,145,1,22
228,145,1,23
229,145,1,24
230,146,2,4
231,146,2,5
232,146,2,6
233,147,2,4
234,147,2,5
235,147,2,6
236,148,2,15
237,148,2,9
238,149,1,22
239,149,1,23
240,149,1,24
241,150,2,4
242,150,2,5
243,150,2,6
244,151,1,22
245,151,1,23
246,151,1,24
247,152,1,22
248,152,1,23
249,152,1,24
250,153,1,22
251,153,1,23
252,153,1,24
253,154,1,22
254,154,1,23
255,154,1,24
256,155,2,13
257,155,8,44
258,156,2,1
259,157,2,8
260,158,2,8
261,159,2,8
262,160,2,10
263,161,2,13
264,161,8,44
265,162,2,13
266,163,3,37
267,164,2,13
268,164,8,44
269,165,2,13
270,166,5,40
271,166,5,41
272,167,2,13
273,168,1,22
274,168,1,23
275,168,1,24
276,169,3,37
277,170,5,40
278,170,5,41
279,171,5,40
280,171,5,41
281,172,2,13
282,173,5,40
283,173,5,41
284,174,3,37
285,175,2,8
286,176,2,8
287,177,5,40
288,177,5,41
289,178,2,13
290,179,2,13
291,180,2,15
292,180,2,9
293,181,2,13
294,182,1,31
295,183,3,37
296,184,5,40
297,184,5,41
298,185,5,40
299,185,5,41
300,186,5,40
