ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestType,ArrestDate,ArrestTime,ArrestPlace,ArrestingOfficerID,RemandDate,BailFlag
1,2,2,Arrest,2024-12-18,10:08,the vegetable market,1763,2024-12-19,Y
2,3,3,Surrender,2023-06-07,18:57,the railway station,1016,2023-06-08,Y
3,3,4,Surrender,2023-06-11,09:10,the railway station,1014,2023-06-12,Y
4,4,5,Arrest,2023-02-09,20:03,a lodge in the town,1016,2023-02-10,N
5,7,9,Arrest,2025-07-23,00:46,the highway toll gate,335,2025-07-24,N
6,8,11,Arrest,2026-02-27,02:42,the taluk border check post,338,2026-02-28,N
7,10,13,Arrest,2026-02-05,19:06,the railway station,1369,2026-02-06,Y
8,11,15,Arrest,2025-12-22,13:43,the bus stand,334,2025-12-23,N
9,11,16,Arrest,2026-01-10,05:28,his residence,338,2026-01-11,N
10,13,18,Arrest,2026-02-20,02:59,the bus stand,338,2026-02-21,N
11,14,19,Arrest,2025-09-19,09:00,a lodge in the town,340,2025-09-20,Y
12,15,20,Surrender,2026-01-16,01:49,the taluk border check post,2445,2026-01-17,Y
13,15,21,Arrest,2026-01-31,12:17,the railway station,2448,2026-02-01,N
14,16,22,Arrest,2025-11-13,02:07,the vegetable market,339,2025-11-14,Y
15,17,23,Arrest,2025-08-06,05:57,the taluk border check post,334,2025-08-07,Y
16,18,24,Arrest,2025-12-26,15:06,the taluk border check post,340,2025-12-27,N
17,19,25,Arrest,2023-09-15,19:11,the bus stand,953,2023-09-16,Y
18,19,26,Arrest,2023-10-02,14:36,the railway station,952,2023-10-03,N
19,19,28,Arrest,2023-09-28,16:26,his residence,950,2023-09-29,Y
20,21,32,Surrender,2024-05-19,05:09,the vegetable market,950,2024-05-20,Y
21,22,33,Arrest,2026-04-29,11:35,the highway toll gate,955,2026-04-30,N
22,24,35,Arrest,2023-11-29,12:58,the railway station,955,2023-11-30,Y
23,27,39,Arrest,2026-01-17,23:10,the highway toll gate,953,2026-01-18,Y
24,29,42,Arrest,2026-01-19,04:20,the highway toll gate,953,2026-01-20,N
