CaseMasterID,CrimeNo,UnitID,DistrictID,CaseCategoryID,CrimeHeadID,CrimeSubHeadID,GravityOffenceID,CrimeRegisteredDate,CrimeRegisteredTime,OccurrenceFromDate,OccurrenceToDate,Latitude,Longitude,PlaceOfOffence,BriefFacts,IOEmployeeID,CaseStatus,Active
1,100221004202600001,284,22,1,2,8,3,2026-06-05,18:26,2026-06-05,2026-06-05,12.668017,76.951458,"the petrol bunk, Mysuru","The complainant was speaking on his mobile phone standing near the sugar factory road at Rural, Mysuru when an unknown person snatched the handset from his hand and ran towards the market road. The phone is a Realme C valued at Rs 205,500.",1764,Chargesheeted,Y
2,100221004202400001,284,22,1,2,8,3,2024-12-02,17:59,2024-12-01,2024-12-02,12.578561,76.982738,"the petrol bunk, Mysuru","At about 14.15 hours near the railway station at Rural, Mysuru the accused riding pillion on a motorcycle snatched the mobile phone of the complainant and escaped. Handset make Samsung Galaxy M, value Rs 139,000.",1766,Chargesheeted,Y
3,300141001202300001,169,14,3,5,15,2,2023-05-22,15:04,2023-05-19,2023-05-22,15.132853,75.816009,"the main road junction, Gadag","During vehicle checking near Vidya Nagar, Gadag the accused travelling in a Royal Enfield motorcycle bearing number KA42XS9733 was found transporting 20 kilograms of ganja. The substance tested positive on field kit and was seized.",1014,Chargesheeted,Y
4,300141001202300002,169,14,3,5,15,2,2023-01-28,12:31,2023-01-27,2023-01-28,15.166631,75.817744,"the temple street, Gadag","During vehicle checking near the petrol bunk at Halli, Gadag the accused travelling in a Hero Splendor motorcycle bearing number KA32HA8672 was found transporting 40 kilograms of ganja. The substance tested positive on field kit and was seized.",1014,Chargesheeted,Y
5,300141001202300003,169,14,3,5,15,2,2023-01-11,18:32,2023-01-10,2023-01-11,15.14147,75.882113,"the government hospital, Gadag","During vehicle checking near Cantonment, Gadag the accused travelling in a Maruti Omni van bearing number KA24PM8745 was found transporting 8 kilograms of ganja. The substance tested positive on field kit and was seized.",1014,Closed NC,Y
6,300141001202300004,169,14,3,5,15,2,2023-04-27,19:51,2023-04-27,2023-04-27,15.144178,75.892172,"the bus stand, Gadag","During vehicle checking near the government hospital at Vinoba Nagar, Gadag the accused travelling in a Tata Ace goods vehicle bearing number KA08ZA7173 was found transporting 24 kilograms of ganja. The substance tested positive on field kit and was seized.",1014,Chargesheeted,Y
7,100051004202500001,60,5,1,2,9,1,2025-06-30,02:51,2025-06-30,2025-06-30,13.49544,77.674264,"the main road junction, Bengaluru Rural","The complainant was travelling in his car near the main road junction at Vidya Nagar, Bengaluru Rural when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 145,000.",335,Chargesheeted,Y
8,100051004202600001,60,5,1,2,9,1,2026-02-01,01:38,2026-02-01,2026-02-01,13.600101,77.585023,"the college ground, Bengaluru Rural","the main road junction at Ring Road, Bengaluru Rural ಬಳಿ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಐದಾರು ಜನರ ಗುಂಪು ಮಾರಕಾಯುಧಗಳೊಂದಿಗೆ ದೂರುದಾರರ ವಾಹನವನ್ನು ತಡೆದು ಬೆದರಿಸಿ ರೂ 64,000 ಮೌಲ್ಯದ ನಗದು ಮತ್ತು ಸರಕನ್ನು ದೋಚಿಕೊಂಡು ಹೋಗಿರುತ್ತಾರೆ.",340,Closed False,Y
9,300051004202500002,60,5,3,5,15,2,2025-09-16,19:55,2025-09-16,2025-09-16,13.60906,77.603844,"the petrol bunk, Bengaluru Rural","Acting on information the staff conducted a check near the bus stand at Vinoba Nagar, Bengaluru Rural. The accused was found in possession of 20 kilograms of dried ganja concealed in a gunny bag, for which he could produce no authorisation. Contraband seized in the presence of panchas.",335,Under Investigation,Y
10,100171010202600001,223,17,1,2,9,1,2026-01-14,23:47,2026-01-14,2026-01-14,17.470101,76.935744,"the taluk office, Kalaburagi","The complainant was travelling in his car near Bazaar, Kalaburagi when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 131,500.",1365,Chargesheeted,Y
