DistrictID,StateID,DistrictName,DistrictNameKn,DistrictCode,Latitude,Longitude,Active
1,29,Bagalkot,ಬಾಗಲಕೋಟೆ,0001,16.18,75.7,Y
2,29,Ballari,ಬಳ್ಳಾರಿ,0002,15.14,76.92,Y
3,29,Belagavi,ಬೆಳಗಾವಿ,0003,15.85,74.5,Y
4,29,Bengaluru Urban,ಬೆಂಗಳೂರು ನಗರ,0004,12.97,77.59,Y
5,29,Bengaluru Rural,ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,0005,13.23,77.57,Y
6,29,Bidar,ಬೀದರ್,0006,17.91,77.52,Y
7,29,Chamarajanagar,ಚಾಮರಾಜನಗರ,0007,11.92,76.94,Y
8,29,Chikkaballapur,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,0008,13.43,77.73,Y
9,29,Chikkamagaluru,ಚಿಕ್ಕಮಗಳೂರು,0009,13.32,75.77,Y
10,29,Chitradurga,ಚಿತ್ರದುರ್ಗ,0010,14.23,76.4,Y
11,29,Dakshina Kannada,ದಕ್ಷಿಣ ಕನ್ನಡ,0011,12.87,74.88,Y
12,29,Davanagere,ದಾವಣಗೆರೆ,0012,14.47,75.92,Y
13,29,Dharwad,ಧಾರವಾಡ,0013,15.46,75.01,Y
14,29,Gadag,ಗದಗ,0014,15.43,75.63,Y
15,29,Hassan,ಹಾಸನ,0015,13.0,76.1,Y
16,29,Haveri,ಹಾವೇರಿ,0016,14.8,75.4,Y
17,29,Kalaburagi,ಕಲಬುರಗಿ,0017,17.33,76.83,Y
18,29,Kodagu,ಕೊಡಗು,0018,12.42,75.74,Y
19,29,Kolar,ಕೋಲಾರ,0019,13.14,78.13,Y
20,29,Koppal,ಕೊಪ್ಪಳ,0020,15.35,76.15,Y
21,29,Mandya,ಮಂಡ್ಯ,0021,12.52,76.9,Y
22,29,Mysuru,ಮೈಸೂರು,0022,12.3,76.65,Y
23,29,Raichur,ರಾಯಚೂರು,0023,16.21,77.36,Y
24,29,Ramanagara,ರಾಮನಗರ,0024,12.72,77.28,Y
25,29,Shivamogga,ಶಿವಮೊಗ್ಗ,0025,13.93,75.57,Y
26,29,Tumakuru,ತುಮಕೂರು,0026,13.34,77.1,Y
27,29,Udupi,ಉಡುಪಿ,0027,13.34,74.75,Y
28,29,Uttara Kannada,ಉತ್ತರ ಕನ್ನಡ,0028,14.8,74.13,Y
29,29,Vijayapura,ವಿಜಯಪುರ,0029,16.83,75.71,Y
30,29,Yadgir,ಯಾದಗಿರಿ,0030,16.77,77.14,Y
31,29,Vijayanagara,ವಿಜಯನಗರ,0031,15.27,76.46,Y
