CaseMasterID,TruePersonID,MOFamily,DistrictID,UnitID,CrimeRegisteredDate,CulpritAppearances
4551,P001634,chain_snatching,2,26,2026-01-15,3
4552,P002602,highway_dacoity,7,89,2025-09-17,5
4553,P001544,sand_smuggling,4,53,2026-01-10,3
4554,P003752,hurt_affray,16,208,2024-02-15,8
4555,P002828,illicit_liquor,7,89,2025-05-29,3
4556,P003628,two_wheeler_theft,9,113,2024-03-04,3
4557,P001820,two_wheeler_theft,17,215,2024-12-18,3
4558,P003183,hurt_affray,3,42,2025-08-18,8
4559,P002822,highway_dacoity,19,241,2022-12-20,6
4560,P000077,card_skimming,16,200,2022-09-03,3
4561,P003845,cattle_theft,9,112,2022-04-21,10
4562,P003484,shop_burglary,26,328,2024-07-03,3
4563,P001265,murder,4,49,2023-11-02,3
4564,P002829,illicit_liquor,31,401,2025-07-17,11
4565,P000438,house_break_night,11,135,2025-04-16,7
4566,P002508,two_wheeler_theft,11,142,2023-12-11,3
4567,P001059,mobile_snatching,13,159,2023-08-30,4
4568,P001429,shop_burglary,11,139,2024-02-18,11
4569,P002232,chain_snatching,4,49,2021-08-29,5
4570,P002838,murder,17,212,2025-03-16,3
4571,P002744,chit_fund_cheating,10,123,2024-07-23,7
4572,P001282,cattle_theft,28,358,2024-07-27,4
4573,P001669,mobile_snatching,18,235,2023-06-15,10
4574,P001205,shop_burglary,17,216,2025-11-04,5
4575,P001271,chain_snatching,11,137,2025-09-02,6
4576,P003298,highway_dacoity,25,325,2023-02-13,6
4577,P001631,murder,9,104,2022-07-24,5
4578,P002566,chain_snatching,5,66,2026-01-20,10
4579,P002034,card_skimming,22,286,2025-08-18,4
4580,P003336,murder,2,33,2023-01-30,5
4581,P003719,illicit_liquor,21,277,2026-02-28,4
4582,P002162,two_wheeler_theft,22,286,2025-11-21,3
4583,P003227,card_skimming,12,152,2025-10-24,5
4584,P003033,mobile_snatching,3,36,2025-10-27,3
4585,P003016,murder,8,95,2026-06-09,3
4586,P000717,chit_fund_cheating,7,90,2025-09-06,7
4587,P002549,chain_snatching,1,15,2025-10-14,3
4588,P002973,sand_smuggling,15,186,2023-03-12,4
4589,P000920,ndps_ganja,30,383,2023-11-02,3
4590,P002838,murder,17,212,2024-01-05,3
4591,P003160,ndps_ganja,4,53,2022-09-15,5
4592,P002746,highway_dacoity,13,165,2023-01-05,10
4593,P002517,highway_dacoity,4,51,2023-04-14,3
4594,P000070,hurt_affray,4,49,2024-05-14,3
4595,P002966,illicit_liquor,17,222,2026-03-22,3
4596,P003580,highway_dacoity,4,51,2023-01-22,4
4597,P003789,chit_fund_cheating,4,52,2025-02-15,4
4598,P001282,two_wheeler_theft,28,358,2024-07-20,4
4599,P001271,chain_snatching,3,37,2024-08-24,6
4600,P001706,illicit_liquor,7,84,2022-11-18,3
4601,P003066,ndps_ganja,24,306,2022-11-28,5
4602,P002209,ndps_ganja,2,26,2026-05-13,3
4603,P002966,illicit_liquor,17,222,2026-05-27,3
4604,P002895,house_break_night,10,119,2023-07-05,3
4605,P002488,highway_dacoity,22,287,2026-03-28,5
4606,P002841,murder,28,357,2024-06-08,3
4607,P001260,chain_snatching,2,30,2023-07-25,4
4608,P000691,cattle_theft,7,83,2024-04-10,3
4609,P001282,two_wheeler_theft,28,358,2024-10-26,4
4610,P002712,house_break_night,4,49,2025-10-10,3
4611,P002231,illicit_liquor,25,316,2024-04-06,3
4612,P002023,illicit_liquor,27,343,2026-01-13,8
4613,P002969,mobile_snatching,11,139,2023-08-23,3
4614,P003308,cattle_theft,2,31,2023-12-22,4
4615,P002416,highway_dacoity,26,329,2023-02-02,5
4616,P000663,highway_dacoity,11,139,2021-11-16,3
4617,P000077,card_skimming,4,46,2022-10-11,3
4618,P001651,ndps_ganja,10,118,2026-01-22,3
4619,P000397,shop_burglary,3,37,2025-11-03,3
4620,P003028,hurt_affray,6,80,2026-05-11,4
4621,P000876,house_break_night,4,46,2022-09-01,7
4622,P003016,murder,8,95,2026-05-05,3
4623,P003213,hurt_affray,23,302,2025-05-24,3
4624,P002838,murder,17,212,2023-12-02,3
4625,P000050,chain_snatching,11,139,2024-05-21,12
4626,P001475,murder,4,46,2023-08-13,3
4627,P002891,illicit_liquor,25,319,2024-06-06,3
4628,P003052,card_skimming,1,11,2023-07-13,6
4629,P003495,highway_dacoity,15,187,2026-04-19,8
4630,P000593,illicit_liquor,3,42,2026-03-10,4
4631,P001640,two_wheeler_theft,26,330,2026-06-27,3
4632,P001105,cattle_theft,7,89,2023-01-26,4
4633,P001651,ndps_ganja,10,118,2026-03-09,3
4634,P002750,highway_dacoity,31,404,2024-01-10,3
4635,P002018,cattle_theft,21,271,2025-08-22,18
4636,P001907,highway_dacoity,1,10,2025-05-24,3
4637,P000691,ndps_ganja,7,83,2023-05-23,3
4638,P002346,illicit_liquor,5,63,2026-04-06,3
4639,P000844,highway_dacoity,3,41,2024-06-15,4
4640,P000958,mobile_snatching,27,339,2023-11-04,4
4641,P002508,two_wheeler_theft,11,142,2021-12-17,3
4642,P002649,highway_dacoity,21,268,2024-10-02,4
4643,P002099,chain_snatching,12,152,2023-07-22,4
4644,P001461,mobile_snatching,21,274,2022-06-30,4
4645,P000177,card_skimming,24,308,2023-09-02,5
4646,P000105,chit_fund_cheating,11,140,2025-07-21,6
4647,P003665,sand_smuggling,22,286,2023-11-14,5
4648,P003314,chit_fund_cheating,16,201,2026-01-03,3
4649,P002260,chain_snatching,18,235,2022-11-21,4
4650,P002858,ndps_ganja,30,386,2025-06-09,4
4651,P002531,cattle_theft,10,129,2022-08-23,4
4652,P003852,ndps_ganja,18,229,2023-10-13,4
4653,P001644,sand_smuggling,13,159,2025-11-18,7
4654,P000582,hurt_affray,30,392,2022-07-14,6
4655,P000620,sand_smuggling,10,123,2022-03-30,3
4656,P000088,shop_burglary,22,286,2025-06-18,10
4657,P001696,illicit_liquor,3,43,2022-01-18,9
4658,P001087,cattle_theft,30,386,2024-07-01,4
4659,P000064,two_wheeler_theft,4,49,2025-09-10,16
4660,P000075,murder,4,46,2024-02-08,3
4661,P003683,chain_snatching,4,51,2026-01-28,3
4662,P003645,highway_dacoity,30,382,2021-10-24,5
4663,P001379,cattle_theft,4,47,2024-08-18,10
4664,P002346,illicit_liquor,5,63,2026-06-05,3
4665,P001629,sand_smuggling,24,306,2022-04-29,3
4666,P000704,cattle_theft,14,169,2024-07-22,3
4667,P001015,house_break_night,4,51,2025-05-30,3
4668,P000343,illicit_liquor,6,79,2025-08-11,3
4669,P000284,illicit_liquor,18,233,2022-12-02,10
4670,P002629,cattle_theft,18,235,2026-03-14,16
4671,P000276,chain_snatching,17,214,2025-06-29,3
4672,P001918,highway_dacoity,21,268,2023-04-17,4
4673,P003083,murder,7,89,2025-11-26,4
4674,P001059,mobile_snatching,17,223,2023-10-14,4
4675,P000707,highway_dacoity,12,153,2026-01-08,3
4676,P001625,highway_dacoity,9,105,2023-09-04,3
4677,P001337,card_skimming,7,89,2022-11-13,4
4678,P001494,sand_smuggling,3,41,2024-11-17,4
4679,P001813,hurt_affray,11,141,2024-07-19,4
4680,P003204,highway_dacoity,17,219,2024-11-15,5
4681,P000010,house_break_night,19,244,2021-09-30,5
4682,P003667,highway_dacoity,28,361,2026-05-06,3
4683,P001230,sand_smuggling,24,308,2025-07-25,4
4684,P001970,chit_fund_cheating,22,287,2023-04-19,4
4685,P002152,house_break_night,11,141,2025-07-30,6
4686,P000056,highway_dacoity,28,358,2026-05-09,3
4687,P003140,shop_burglary,4,51,2022-12-02,3
4688,P000559,chit_fund_cheating,15,180,2022-08-12,4
4689,P003756,chit_fund_cheating,4,47,2026-06-29,4
4690,P003642,ndps_ganja,11,135,2025-10-19,6
4691,P000315,card_skimming,4,51,2021-09-06,3
4692,P000050,chain_snatching,11,139,2025-12-10,12
4693,P002807,two_wheeler_theft,4,51,2025-10-25,10
4694,P000598,chit_fund_cheating,28,350,2024-03-04,3
4695,P000024,mobile_snatching,13,163,2022-11-09,3
4696,P002635,mobile_snatching,25,321,2022-02-14,3
4697,P003014,chain_snatching,10,121,2023-11-03,3
4698,P003851,ndps_ganja,11,139,2024-11-10,3
4699,P000372,shop_burglary,4,49,2022-11-18,3
4700,P000204,sand_smuggling,13,158,2026-01-19,12
4701,P000084,murder,1,12,2024-12-30,4
4702,P000124,two_wheeler_theft,26,332,2024-01-26,3
4703,P002517,illicit_liquor,4,51,2023-03-08,3
4704,P002531,cattle_theft,10,129,2022-12-28,4
4705,P000833,sand_smuggling,4,47,2023-03-14,4
4706,P003481,ndps_ganja,9,105,2026-01-17,3
4707,P000593,illicit_liquor,3,42,2025-03-18,4
4708,P000241,illicit_liquor,2,26,2023-10-22,5
4709,P002885,chit_fund_cheating,3,41,2023-04-21,9
4710,P000663,highway_dacoity,11,139,2022-01-23,3
4711,P002820,mobile_snatching,4,47,2024-07-26,5
4712,P002822,highway_dacoity,2,31,2022-07-13,6
4713,P002649,highway_dacoity,21,268,2024-11-29,4
4714,P000079,house_break_night,29,378,2026-04-14,4
4715,P000085,cattle_theft,16,200,2023-12-13,3
4716,P000668,chain_snatching,23,301,2024-06-16,4
4717,P003587,shop_burglary,25,316,2025-02-21,4
4718,P002348,highway_dacoity,24,307,2026-02-11,6
4719,P002384,illicit_liquor,13,158,2023-02-04,3
4720,P003493,sand_smuggling,7,90,2023-05-21,4
4721,P001366,shop_burglary,4,49,2025-03-10,3
4722,P002744,chit_fund_cheating,20,256,2024-09-05,7
4723,P001360,cattle_theft,4,53,2021-09-19,4
4724,P001869,two_wheeler_theft,27,341,2025-10-28,8
4725,P002301,card_skimming,4,53,2025-12-07,3
4726,P003569,murder,11,143,2025-08-15,4
4727,P002597,house_break_night,3,37,2021-07-17,6
4728,P001498,chit_fund_cheating,31,404,2021-08-30,3
4729,P000653,cattle_theft,18,227,2022-06-29,3
