AccusedMasterID,CaseMasterID,ResolvedIdentityID
1,1,R000000
2,2,R000000
3,3,R000002
4,3,R000001
5,4,R000002
6,4,R000001
7,5,R000002
8,6,R000002
9,7,R000008
10,7,R000003
11,8,R000004
12,9,R000005
13,10,R000006
14,11,R000008
15,11,R000003
16,11,R000007
17,12,R000004
18,13,R000004
19,14,R000008
20,15,R000009
21,15,R000010
22,16,R000008
23,17,R000008
24,18,R000008
25,19,R000021
26,19,R000011
27,19,R000012
28,19,R000013
29,20,R000015
30,20,R000014
31,21,R003263
32,21,R002589
33,22,R000015
34,23,R000015
35,24,R000015
36,25,R000016
37,26,R000017
38,26,R000018
39,27,R000021
40,28,R000019
41,28,R000020
42,29,R000021
43,30,R000016
44,31,R000022
45,32,R000015
46,32,R000018
47,33,R000021
48,33,R000023
49,34,R000024
50,34,R000025
51,35,R000015
52,36,R000029
53,36,R000032
54,37,R000026
55,38,R000027
56,39,R000028
57,40,R000029
58,40,R000030
59,41,R000031
60,42,R000028
61,43,R000028
62,44,R000029
63,44,R000032
64,44,R000033
65,44,R000034
66,45,R000035
67,46,R000035
68,46,R000036
69,46,R000037
70,47,R000035
71,48,R000035
72,49,R000038
73,50,R000039
74,50,R000040
75,50,R001551
76,50,R000041
77,51,R000029
78,51,R000032
79,52,R000029
80,52,R000042
81,53,R000043
82,54,R000044
83,55,R000044
84,55,R000045
85,56,R000044
86,56,R000046
87,57,R000014
88,58,R000014
89,58,R000047
90,59,R000048
91,59,R000049
92,60,R000050
93,61,R000051
94,62,R000052
95,62,R000053
96,63,R000054
97,63,R000055
98,63,R000056
99,63,R000057
100,64,R000052
101,65,R000054
102,66,R000052
103,66,R000058
104,67,R000052
105,68,R000059
106,68,R000060
107,69,R000061
108,70,R000052
109,70,R000062
110,70,R000063
111,71,R000064
112,71,R000065
113,72,R000052
114,73,R000064
115,74,R000064
116,75,R000067
117,76,R000067
118,76,R000066
119,77,R000067
120,78,R000067
121,78,R000068
122,79,R000067
123,79,R000069
124,80,R000067
125,80,R000070
126,80,R000071
127,81,R000072
128,81,R000073
129,82,R000072
130,83,R000072
131,84,R000072
132,85,R000072
133,86,R000074
134,86,R000075
135,87,R000076
136,88,R000072
137,88,R000077
138,88,R000078
139,89,R000072
140,89,R000079
141,89,R000080
142,90,R000081
143,91,R000461
144,92,R000082
145,93,R000083
146,94,R000083
147,94,R000084
148,94,R000085
149,95,R000086
150,95,R000084
151,95,R000085
152,95,R000087
153,96,R000083
154,97,R000083
155,97,R000084
156,97,R000085
157,97,R000088
158,98,R000083
159,98,R000089
160,98,R000090
161,99,R000091
162,99,R000084
163,99,R000092
164,99,R000093
165,100,R000083
166,100,R000094
167,101,R000095
168,102,R000096
169,103,R000098
170,103,R000097
171,104,R000098
172,105,R000098
173,106,R000098
174,107,R000099
175,108,R000100
176,108,R000101
177,109,R000102
178,110,R000102
179,111,R000103
180,112,R000107
181,113,R000107
182,113,R000104
183,114,R000105
184,114,R000106
185,115,R000107
186,115,R000108
187,115,R000104
188,115,R000109
189,115,R000110
190,116,R000107
191,117,R000111
192,117,R000112
193,118,R000113
194,118,R000114
195,119,R000107
196,120,R000116
197,120,R000115
198,121,R000116
199,121,R000129
200,121,R000117
201,122,R000118
202,123,R000119
203,124,R000122
204,125,R000120
205,125,R000121
206,126,R000122
207,126,R000123
208,127,R000122
209,127,R000124
210,128,R000122
211,128,R000125
212,128,R000126
213,128,R000127
214,129,R000128
215,130,R000116
216,130,R000129
217,131,R000116
218,131,R000117
219,131,R000129
220,132,R000116
221,132,R000130
222,133,R000116
223,133,R000131
224,134,R000116
225,134,R000130
226,134,R000129
227,135,R000132
228,135,R000130
229,135,R000133
230,136,R000140
231,137,R000140
232,138,R000134
233,138,R000135
234,138,R000136
235,139,R000140
236,139,R000137
237,140,R000138
238,141,R000140
239,141,R000139
240,142,R000140
241,143,R000140
242,144,R000140
243,145,R000141
244,146,R000140
245,146,R000142
246,147,R000143
247,147,R000144
248,147,R000145
249,148,R000146
250,148,R000147
251,149,R000140
252,149,R000148
253,149,R000149
254,149,R000150
255,149,R000151
256,150,R000140
257,151,R004538
258,152,R000152
259,153,R000140
260,154,R000140
261,155,R000153
262,155,R000154
263,156,R000155
264,156,R000156
265,157,R000157
266,158,R000158
267,159,R000157
268,159,R000159
269,160,R000614
270,161,R000160
271,161,R000161
272,161,R000162
273,162,R000170
274,162,R000163
275,162,R000164
276,163,R000160
277,163,R000165
278,164,R000160
279,165,R000166
280,165,R000167
281,165,R000168
282,166,R000169
283,167,R000170
284,167,R000163
285,167,R000164
286,168,R000171
287,169,R000172
288,170,R000172
